sex,whoagegrp_ht,whoinc_1_ht,whoinc_2_ht,whoinc_3_ht,whoinc_4_ht,whoinc_6_ht
0,0,1.3,5.1,7.7,9.7,12.7
0,1,1.0,4.1,6.0,7.3,10.0
0,2,0.7,2.7,4.2,5.4,7.8
0,3,0.4,1.7,3.0,4.1,6.4
0,4,0.3,1.1,2.3,3.3,5.4
0,5,0.2,0.7,1.8,2.8,4.9
0,6,0.1,0.5,1.6,2.5,4.5
0,7,0.1,0.4,1.4,2.3,4.3
0,8,0.1,0.3,1.3,2.2,4.1
0,9,0.1,0.2,1.2,2.0,3.9
0,10,0.1,0.2,1.1,1.9,3.8
0,11,0.0,0.1,1.0,1.8,3.6
0,12,0.0,0.0,0.9,1.7,3.5
0,13,0.0,0.0,0.7,1.6,3.3
0,14,0.0,0.0,0.6,1.5,3.2
0,15,0.0,0.0,0.6,1.4,3.1
0,16,0.0,0.0,0.5,1.3,2.9
0,17,0.0,0.0,0.4,1.2,2.8
0,18,0.0,0.0,0.4,1.1,2.7
0,19,0.0,0.0,0.3,1.0,2.7
0,20,0.0,0.0,0.2,0.9,2.7
0,21,0.0,0.0,0.2,0.9,2.7
0,22,0.0,0.0,0.2,0.9,2.7
0,23,0.0,0.0,0.0,0.0,1.8
0,24,0.0,0.0,0.0,0.0,1.8
0,25,0.0,0.0,0.0,0.0,1.8
0,26,0.0,0.0,0.0,0.0,1.8
0,27,0.0,0.0,0.0,0.0,1.8
0,28,0.0,0.0,0.0,0.0,1.7
0,29,0.0,0.0,0.0,0.0,1.7
0,30,0.0,0.0,0.0,0.0,1.7
0,31,0.0,0.0,0.0,0.0,1.6
0,32,0.0,0.0,0.0,0.0,1.6
0,33,0.0,0.0,0.0,0.0,1.6
0,34,0.0,0.0,0.0,0.0,1.6
0,35,0.0,0.0,0.0,0.0,1.6
0,36,0.0,0.0,0.0,0.0,1.6
0,37,0.0,0.0,0.0,0.0,1.6
0,38,0.0,0.0,0.0,0.0,1.6
0,39,0.0,0.0,0.0,0.0,1.6
0,40,0.0,0.0,0.0,0.0,1.6
0,41,0.0,0.0,0.0,0.0,1.6
0,42,0.0,0.0,0.0,0.0,1.6
0,43,0.0,0.0,0.0,0.0,1.6
0,44,0.0,0.0,0.0,0.0,1.6
0,45,0.0,0.0,0.0,0.0,1.6
0,46,0.0,0.0,0.0,0.0,1.6
0,47,0.0,0.0,0.0,0.0,1.6
0,48,0.0,0.0,0.0,0.0,1.6
0,49,0.0,0.0,0.0,0.0,1.5
0,50,0.0,0.0,0.0,0.0,1.5
0,51,0.0,0.0,0.0,0.0,1.5
0,52,0.0,0.0,0.0,0.0,1.5
0,53,0.0,0.0,0.0,0.0,1.5
0,54,0.0,0.0,0.0,0.0,1.5
0,55,0.0,0.0,0.0,0.0,1.4
0,56,0.0,0.0,0.0,0.0,1.4
0,57,0.0,0.0,0.0,0.0,1.4
0,58,0.0,0.0,0.0,0.0,1.4
0,59,0.0,0.0,0.0,0.0,1.4
0,60,0.0,0.0,0.0,0.0,1.4
0,61,0.0,0.0,0.0,0.0,1.4
0,62,0.0,0.0,0.0,0.0,1.4
0,63,0.0,0.0,0.0,0.0,1.4
0,64,0.0,0.0,0.0,0.0,1.4
0,65,0.0,0.0,0.0,0.0,1.4
0,66,0.0,0.0,0.0,0.0,1.4
0,67,0.0,0.0,0.0,0.0,1.4
0,68,0.0,0.0,0.0,0.0,1.4
0,69,0.0,0.0,0.0,0.0,1.4
0,70,0.0,0.0,0.0,0.0,1.4
0,71,0.0,0.0,0.0,0.0,1.4
0,72,0.0,0.0,0.0,0.0,1.4
0,73,0.0,0.0,0.0,0.0,1.3
0,74,0.0,0.0,0.0,0.0,1.3
0,75,0.0,0.0,0.0,0.0,1.3
0,76,0.0,0.0,0.0,0.0,1.3
0,77,0.0,0.0,0.0,0.0,1.3
0,78,0.0,0.0,0.0,0.0,1.3
0,79,0.0,0.0,0.0,0.0,1.3
0,80,0.0,0.0,0.0,0.0,1.3
0,81,0.0,0.0,0.0,0.0,1.3
0,82,0.0,0.0,0.0,0.0,1.3
0,83,0.0,0.0,0.0,0.0,1.3
0,84,0.0,0.0,0.0,0.0,1.3
0,85,0.0,0.0,0.0,0.0,1.3
0,86,0.0,0.0,0.0,0.0,1.3
